# Transmittance data for ZAOT nov. 2022
CUTOFF	0	    15	    30	    45	    60	    75
510.03	0.106	0.096	0.129	39.542	73.298	53.559
511.00	0.102	0.092	0.135	39.528	72.822	56.095
511.97	0.098	0.092	0.137	39.924	71.846	58.564
513.05	0.094	0.088	0.146	40.700	70.400	60.767
514.02	0.097	0.084	0.151	41.800	68.634	62.533
515.00	0.096	0.087	0.157	43.122	66.719	63.846
515.98	0.096	0.080	0.168	44.527	64.824	64.669
516.96	0.092	0.079	0.186	45.892	63.126	65.006
517.95	0.092	0.076	0.204	47.197	61.798	64.861
519.05	0.085	0.072	0.228	48.458	60.955	64.146
520.05	0.081	0.068	0.257	49.672	60.571	62.932
521.05	0.078	0.068	0.305	50.756	60.590	61.321
522.05	0.080	0.064	0.367	51.657	60.993	59.506
522.95	0.077	0.064	0.462	52.361	61.786	57.702
523.96	0.073	0.064	0.595	52.921	62.947	56.081
524.98	0.070	0.061	0.824	53.421	64.532	54.787
526.00	0.066	0.057	1.198	54.011	66.458	53.801
527.03	0.063	0.057	1.846	54.934	68.713	53.084
528.06	0.063	0.057	2.883	56.293	71.181	52.585
528.98	0.063	0.057	4.327	57.982	73.694	52.221
530.02	0.063	0.053	6.201	59.861	76.115	51.986
530.95	0.059	0.053	8.390	61.715	78.280	51.851
532.00	0.056	0.053	10.801	63.401	80.078	51.827
533.05	0.050	0.053	13.374	64.727	81.357	51.918
533.99	0.050	0.052	15.977	65.626	82.081	52.141
535.05	0.046	0.052	18.420	66.033	82.229	52.546
536.00	0.046	0.054	20.509	66.006	81.809	53.153
536.95	0.045	0.053	22.118	65.581	80.919	53.993
538.02	0.045	0.056	23.131	64.720	79.603	55.086
538.98	0.041	0.052	23.486	63.463	77.983	56.465
540.06	0.040	0.051	23.290	61.958	76.236	58.102
541.02	0.042	0.053	22.587	60.324	74.498	59.948
541.98	0.047	0.052	21.543	58.721	72.893	61.934
542.95	0.049	0.049	20.287	57.313	71.504	63.956
544.03	0.051	0.051	18.910	56.293	70.431	65.866
545.00	0.050	0.053	17.572	55.769	69.645	67.559
545.97	0.050	0.052	16.495	55.827	69.158	68.905
546.94	0.049	0.052	15.907	56.415	68.891	69.811
548.04	0.046	0.054	15.953	57.470	68.821	70.268
549.01	0.046	0.053	16.773	58.957	68.914	70.266
549.98	0.046	0.056	18.461	60.850	69.174	69.786
550.96	0.046	0.058	21.059	63.161	69.619	68.874
552.05	0.046	0.061	24.396	65.765	70.254	67.616
553.02	0.041	0.061	28.291	68.579	71.104	66.101
553.99	0.044	0.066	32.479	71.476	72.176	64.435
554.97	0.044	0.069	36.663	74.335	73.520	62.755
556.06	0.045	0.072	40.601	76.984	75.089	61.171
557.02	0.047	0.077	44.171	79.283	76.854	59.768
557.99	0.047	0.080	47.274	81.046	78.779	58.635
558.96	0.050	0.085	49.853	82.237	80.761	57.757
560.04	0.053	0.093	51.702	82.770	82.724	57.117
561.00	0.056	0.103	52.679	82.673	84.550	56.696
561.96	0.056	0.116	52.604	81.902	86.120	56.477
563.03	0.056	0.132	51.639	80.613	87.374	56.415
563.99	0.061	0.153	49.946	78.889	88.220	56.490
565.05	0.061	0.179	47.833	76.867	88.640	56.673
566.00	0.062	0.216	45.630	74.667	88.552	56.968
567.06	0.064	0.260	43.633	72.455	88.027	57.343
568.00	0.070	0.326	42.036	70.353	87.084	57.815
569.05	0.075	0.430	40.977	68.498	85.772	58.375
569.98	0.081	0.591	40.554	66.919	84.200	59.028
571.03	0.086	0.845	40.816	65.670	82.460	59.763
571.95	0.089	1.304	41.794	64.721	80.659	60.609
572.99	0.094	2.141	43.414	64.080	78.880	61.570
574.02	0.103	3.557	45.463	63.717	77.191	62.658
575.04	0.111	5.638	47.747	63.646	75.662	63.871
575.95	0.122	8.354	50.050	63.857	74.316	65.228
576.96	0.136	11.482	52.223	64.362	73.183	66.698
577.98	0.150	14.720	54.174	65.168	72.247	68.260
578.98	0.167	17.894	55.835	66.284	71.520	69.861
579.98	0.192	21.025	57.156	67.728	70.978	71.447
580.98	0.226	24.196	58.106	69.451	70.619	72.935
581.97	0.274	27.299	58.736	71.413	70.413	74.268
582.96	0.342	29.915	59.024	73.554	70.353	75.341
583.95	0.436	31.563	59.092	75.826	70.463	76.095
585.04	0.569	32.072	59.056	78.105	70.710	76.484
586.02	0.766	31.526	59.064	80.317	71.106	76.487
586.99	1.100	30.124	59.215	82.343	71.664	76.053
587.96	1.668	28.232	59.550	84.099	72.372	75.236
589.04	2.728	26.218	60.053	85.495	73.232	74.067
590.00	5.005	24.310	60.668	86.477	74.285	72.588
590.97	9.083	22.517	61.315	86.997	75.513	70.890
592.03	14.882	20.804	61.924	87.071	76.915	69.057
592.99	21.082	19.296	62.466	86.745	78.460	67.176
593.95	26.477	18.378	62.951	86.081	80.132	65.342
595.02	30.181	18.504	63.389	85.112	81.885	63.620
595.97	33.039	18.211	63.576	84.657	82.738	62.611
597.04	36.448	18.327	63.692	84.030	83.652	61.633
597.99	40.519	18.764	63.755	83.276	84.602	60.745
598.95	45.385	19.435	63.807	82.435	85.618	59.919
600.02	50.967	20.328	63.866	81.559	86.697	59.182
